scenario,hts_code,chip_category,taiwan_import_share_pct,disruption_rate,inventory_buffer_factor,supply_shock_pct,days_to_critical_shortage
30-day,8541,Discrete Semiconductors,3.9,0.4,0.5,0.78,90
30-day,8542,Integrated Circuits,23.3,0.4,0.5,4.66,90
30-day,8543,Specialized Electrical Machines,4.0,0.4,0.5,0.8,90
60-day,8541,Discrete Semiconductors,3.9,0.65,0.25,1.9,60
60-day,8542,Integrated Circuits,23.3,0.65,0.25,11.36,60
60-day,8543,Specialized Electrical Machines,4.0,0.65,0.25,1.95,60
90-day,8541,Discrete Semiconductors,3.9,0.85,0.0,3.31,30
90-day,8542,Integrated Circuits,23.3,0.85,0.0,19.8,30
90-day,8543,Specialized Electrical Machines,4.0,0.85,0.0,3.4,30
